Model,RMSE,MAE,R2
Random Forest,0.1441216461568235,0.04872204335016832,0.8515617349728447
Ridge Regression,0.2502214826161406,0.14747912250703762,0.5525581234631657
Neural Network,0.1641293818765362,0.10774626149465524,0.8074869788930504
